| table_schema | table_name           |
| ------------ | -------------------- |
| public       | anonymous_identities |
| public       | audit_logs           |
| public       | chat_conversations   |
| public       | chat_messages        |
| public       | chat_requests        |
| public       | chat_session_keys    |
| public       | group_bans           |
| public       | group_invites        |
| public       | group_members        |
| public       | groups               |
| public       | media_uploads        |
| public       | message_status       |
| public       | polls                |
| public       | reports              |
| public       | system_notifications |
| public       | user_blocks          |
| public       | user_encryption_keys |
| public       | user_password_resets |
| public       | user_sessions        |
| public       | user_settings        |
| public       | user_verifications   |
| public       | users                |
| public       | votes                |


| table_schema | table_name               | ordinal_position | column_name                   | data_type                | udt_name    | is_nullable | column_default                  | character_maximum_length | numeric_precision | numeric_scale |
| public       | chat_session_keys        | 5                | aes_key_iv                    | character varying        | varchar     | NO          | null                            | 50                       | null              | null          |
| public       | chat_session_keys        | 6                | encrypted_for_user_id         | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | chat_session_keys        | 7                | encrypted_with_key_version    | integer                  | int4        | YES         | 1                               | null                     | 32                | 0             |
| public       | chat_session_keys        | 8                | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | chat_session_keys        | 9                | updated_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | group_bans               | 1                | ban_id                        | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | group_bans               | 2                | group_id                      | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | group_bans               | 3                | user_id                       | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | group_bans               | 4                | banned_by                     | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | group_bans               | 5                | reason                        | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | group_bans               | 6                | expires_at                    | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | group_bans               | 7                | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | group_invites            | 1                | invite_id                     | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | group_invites            | 2                | group_id                      | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | group_invites            | 3                | invited_by                    | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | group_invites            | 4                | invitee_id                    | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | group_invites            | 5                | invite_token                  | character varying        | varchar     | YES         | null                            | 255                      | null              | null          |
| public       | group_invites            | 6                | invite_type                   | character varying        | varchar     | YES         | 'private'::character varying    | 20                       | null              | null          |
| public       | group_invites            | 7                | status                        | character varying        | varchar     | YES         | 'pending'::character varying    | 20                       | null              | null          |
| public       | group_invites            | 8                | expires_at                    | timestamp with time zone | timestamptz | YES         | (now() + '30 days'::interval)   | null                     | null              | null          |
| public       | group_invites            | 9                | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | group_members            | 1                | member_id                     | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | group_members            | 2                | group_id                      | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | group_members            | 3                | user_id                       | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | group_members            | 4                | is_admin                      | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | group_members            | 5                | is_owner                      | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | group_members            | 6                | is_anonymous                  | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | group_members            | 7                | anonymous_display_name        | character varying        | varchar     | YES         | null                            | 50                       | null              | null          |
| public       | group_members            | 8                | anonymous_identity_id         | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | group_members            | 9                | can_send_messages             | boolean                  | bool        | YES         | true                            | null                     | null              | null          |
| public       | group_members            | 10               | can_add_members               | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | group_members            | 11               | can_remove_members            | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | group_members            | 12               | can_edit_group                | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | group_members            | 13               | joined_at                     | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | group_members            | 14               | last_seen_at                  | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
